test,district,w_age,w_gap,missing_age,rule,reached,met,acquired,resident_loss_share,resident_loses_most,median_weakness_taken,mean_weakness_taken,pool_mean_weakness,lift_over_pool,pool_taken_frac
sensitivity,dapuqiao,0.75,0.25,zero,weak_first,0.8005,True,460,1.0,True,,,,,
sensitivity,dapuqiao,0.75,0.25,median,weak_first,0.8007,True,458,1.0,True,,,,,
sensitivity,dapuqiao,0.5,0.5,zero,weak_first,0.8005,True,460,1.0,True,,,,,
sensitivity,dapuqiao,0.5,0.5,median,weak_first,0.8007,True,458,1.0,True,,,,,
sensitivity,dapuqiao,0.25,0.75,zero,weak_first,0.8005,True,460,1.0,True,,,,,
sensitivity,dapuqiao,0.25,0.75,median,weak_first,0.8007,True,458,1.0,True,,,,,
sensitivity,dapuqiao,0.0,1.0,zero,weak_first,0.8007,True,462,1.0,True,,,,,
sensitivity,dapuqiao,0.0,1.0,median,weak_first,0.8007,True,462,1.0,True,,,,,
ablation_heavy,dapuqiao,0.5,0.5,zero,weak_first,0.8005,True,460,1.0,True,0.2929,0.3326,0.3161,0.0165,0.95
ablation_heavy,dapuqiao,0.5,0.5,zero,value_first,0.8,True,234,1.0,True,0.2929,0.2559,0.3161,-0.0603,0.483
ablation_heavy,dapuqiao,0.5,0.5,zero,random,0.8002,True,446,1.0,True,0.2929,0.317,0.3161,0.0009,0.921
ablation_heavy,dapuqiao,0.5,0.5,zero,adjacency_first,0.8003,True,260,1.0,True,0.2929,0.2855,0.3161,-0.0306,0.537
ablation_light,dapuqiao,0.5,0.5,zero,weak_first,0.4061,True,134,1.0,True,0.4658,0.5149,0.3161,0.1988,0.277
ablation_light,dapuqiao,0.5,0.5,zero,value_first,0.4068,True,6,1.0,True,0.1464,0.1464,0.3161,-0.1697,0.012
ablation_light,dapuqiao,0.5,0.5,zero,random,0.4078,True,64,1.0,True,0.2929,0.3313,0.3161,0.0152,0.132
ablation_light,dapuqiao,0.5,0.5,zero,adjacency_first,0.4062,True,9,1.0,True,0.2929,0.2329,0.3161,-0.0832,0.019
sensitivity,yuyuan,1.0,0.0,zero,weak_first,0.8004,True,459,1.0,True,,,,,
sensitivity,yuyuan,1.0,0.0,median,weak_first,0.8021,True,458,1.0,True,,,,,
sensitivity,yuyuan,0.75,0.25,zero,weak_first,0.8002,True,496,1.0,True,,,,,
sensitivity,yuyuan,0.75,0.25,median,weak_first,0.8071,True,540,1.0,True,,,,,
sensitivity,yuyuan,0.5,0.5,zero,weak_first,0.8002,True,496,1.0,True,,,,,
sensitivity,yuyuan,0.5,0.5,median,weak_first,0.8071,True,540,1.0,True,,,,,
sensitivity,yuyuan,0.25,0.75,zero,weak_first,0.8019,True,530,1.0,True,,,,,
sensitivity,yuyuan,0.25,0.75,median,weak_first,0.8077,True,542,1.0,True,,,,,
sensitivity,yuyuan,0.0,1.0,zero,weak_first,0.8043,True,547,1.0,True,,,,,
sensitivity,yuyuan,0.0,1.0,median,weak_first,0.8043,True,547,1.0,True,,,,,
ablation_heavy,yuyuan,0.5,0.5,zero,weak_first,0.8002,True,496,1.0,True,0.296,0.347,0.3175,0.0295,0.887
ablation_heavy,yuyuan,0.5,0.5,zero,value_first,0.8004,True,218,1.0,True,0.2929,0.2804,0.3175,-0.0371,0.39
ablation_heavy,yuyuan,0.5,0.5,zero,random,0.8002,True,435,1.0,True,0.2929,0.3201,0.3175,0.0026,0.778
ablation_heavy,yuyuan,0.5,0.5,zero,adjacency_first,0.8004,True,228,1.0,True,0.2893,0.2991,0.3175,-0.0184,0.408
ablation_light,yuyuan,0.5,0.5,zero,weak_first,0.4134,True,78,1.0,True,0.5444,0.5529,0.3175,0.2354,0.14
ablation_light,yuyuan,0.5,0.5,zero,value_first,0.4255,True,4,1.0,True,0.1429,0.1447,0.3175,-0.1728,0.007
ablation_light,yuyuan,0.5,0.5,zero,random,0.417,True,30,1.0,True,0.2929,0.3269,0.3175,0.0094,0.054
ablation_light,yuyuan,0.5,0.5,zero,adjacency_first,0.4213,True,10,1.0,True,0.2722,0.2849,0.3175,-0.0326,0.018
