bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
1587,resident,developer,1335.02,10785.46,6.0,48.47,222.5,0.7381
1608,resident,developer,782.99,6325.74,6.0,48.47,130.5,0.7381
1008,resident,developer,5585.94,27076.94,12.0,58.17,465.5,0.6969
8,resident,developer,2561.76,10348.08,12.0,48.47,213.5,0.6762
39,resident,developer,21535.56,86991.83,12.0,48.47,1794.6,0.6762
41,resident,developer,33143.32,133880.8,12.0,48.47,2761.9,0.6762
88,resident,developer,28740.54,116095.97,12.0,48.47,2395.0,0.6762
443,resident,developer,4260.55,17210.28,12.0,48.47,355.0,0.6762
465,resident,developer,6435.17,25994.53,12.0,48.47,536.3,0.6762
1028,resident,developer,9584.19,38714.85,12.0,48.47,798.7,0.6762
1606,resident,developer,3000.43,12120.1,12.0,48.47,250.0,0.6762
1607,resident,developer,3328.85,13446.74,12.0,48.47,277.4,0.6762
1655,resident,developer,3771.33,15234.09,12.0,48.47,314.3,0.6762
1656,resident,developer,4422.68,17865.18,12.0,48.47,368.6,0.6762
1658,resident,developer,4950.09,19995.65,12.0,48.47,412.5,0.6762
1660,resident,developer,4389.68,17731.91,12.0,48.47,365.8,0.6762
1661,resident,developer,5132.42,20732.15,12.0,48.47,427.7,0.6762
1663,resident,developer,3955.61,15978.5,12.0,48.47,329.6,0.6762
446,resident,developer,4138.39,16716.81,12.0,48.47,344.9,0.6691
1572,resident,developer,3641.35,14709.06,12.0,48.47,303.4,0.6691
2751,resident,developer,543.59,4391.63,6.0,48.47,90.6,0.6238
2757,resident,developer,400.36,3234.46,6.0,48.47,66.7,0.6238
1832,resident,developer,1333.22,10770.94,6.0,48.47,222.2,0.6167
1491,resident,developer,10261.96,27635.1,18.0,48.47,570.1,0.6143
1493,resident,developer,17703.08,47673.8,18.0,48.47,983.5,0.6143
1494,resident,developer,9497.89,25577.5,18.0,48.47,527.7,0.6143
1647,resident,developer,9243.59,24892.67,18.0,48.47,513.5,0.6143
1665,resident,developer,5758.15,15506.5,18.0,48.47,319.9,0.6143
1666,resident,developer,9193.51,24757.82,18.0,48.47,510.8,0.6143
1668,resident,developer,5716.81,15395.17,18.0,48.47,317.6,0.6143
1669,resident,developer,5708.92,15373.94,18.0,48.47,317.2,0.6143
1789,resident,developer,90036.55,242465.45,18.0,48.47,5002.0,0.6143
1459,resident,developer,1399.44,11305.95,6.0,48.47,233.2,0.6095
1170,resident,developer,15284.91,41161.75,18.0,48.47,849.2,0.6072
1811,resident,developer,20816.75,84088.24,12.0,48.47,1734.7,0.5976
2790,resident,developer,42014.92,169717.17,12.0,48.47,3501.2,0.5976
2837,resident,developer,15455.01,62429.72,12.0,48.47,1287.9,0.5905
2840,resident,developer,74174.68,299624.92,12.0,48.47,6181.2,0.5905
2841,resident,developer,4008.8,16193.33,12.0,48.47,334.1,0.5905
1485,resident,developer,1574.64,12721.4,6.0,48.47,262.4,0.5881
1467,resident,developer,2436.93,19687.7,6.0,48.47,406.2,0.581
1645,resident,developer,11116.91,29937.48,18.0,48.47,617.6,0.5786
1178,resident,developer,25850.91,104423.47,12.0,48.47,2154.2,0.5762
1211,resident,developer,22553.28,91102.86,12.0,48.47,1879.4,0.5762
2282,resident,developer,1256.03,10147.35,6.0,48.47,209.3,0.5738
1657,resident,developer,2487.03,10046.24,12.0,48.47,207.3,0.5619
2734,resident,developer,2699.76,10905.54,12.0,48.47,225.0,0.5619
2750,resident,developer,17123.56,69169.76,12.0,48.47,1427.0,0.5619
2758,resident,developer,8930.1,36072.71,12.0,48.47,744.2,0.5619
2928,resident,developer,11793.89,47640.81,12.0,48.47,982.8,0.5619
1653,resident,developer,4539.57,18337.38,12.0,48.47,378.3,0.5548
1654,resident,developer,4291.61,17335.74,12.0,48.47,357.6,0.5548
1830,resident,developer,6791.5,27433.91,12.0,48.47,566.0,0.5548
2881,resident,developer,11570.94,46740.25,12.0,48.47,964.2,0.5548
1813,resident,developer,4829.37,9754.01,24.0,48.47,201.2,0.5524
808,resident,developer,782.49,7586.01,6.0,58.17,130.4,0.5484
927,resident,developer,9934.08,40128.22,12.0,48.47,827.8,0.5476
928,resident,developer,24038.35,97101.71,12.0,48.47,2003.2,0.5476
1119,resident,developer,8985.76,36297.52,12.0,48.47,748.8,0.5476
1530,resident,developer,913.77,3691.12,12.0,48.47,76.1,0.5476
1643,resident,developer,1849.6,7471.35,12.0,48.47,154.1,0.5476
2747,resident,developer,31850.84,128659.86,12.0,48.47,2654.2,0.5476
2877,resident,developer,18455.23,74549.0,12.0,48.47,1537.9,0.5476
727,resident,developer,2445.96,19760.69,6.0,48.47,407.7,0.5453
1592,resident,developer,44400.32,179352.88,12.0,48.47,3700.0,0.5405
1980,resident,developer,3637.77,14694.6,12.0,48.47,303.1,0.5405
2315,resident,developer,3859.19,15589.02,12.0,48.47,321.6,0.5405
2739,resident,developer,2378.57,9608.1,12.0,48.47,198.2,0.5405
2834,resident,developer,69154.73,279347.07,12.0,48.47,5762.9,0.5405
